Issue Type,Summary,Description,Priority,Labels,Components,Assignee,Start date,Due date,Status,Resolution
Task,P0: Implement /api/policy/route,BFF policy_service endpoint with reason codes and FE quick-run wiring.,Highest,maestro-v3;baseline;routing,bff,AI-Agent,2025-11-27,2025-11-27,Done,Implemented POST /api/policy/route with feature extraction and heuristic routing; Unit tests 32/32 passed; Integration tests 7/7 passed; p50=3.84ms p95=17.63ms; All 7 AC verified (AC-1 to AC-7); WebSocket ws:routing:decision events; X-Route-Locus override support; Prometheus metrics
Task,P0: Add /api/gates and ws:gates:update,Gate framework (DDE/BRV/ACC) APIs and WS events; enforce per phase.,Highest,maestro-v3;baseline;gates,backend;orchestration,AI-Agent,2025-11-27,2025-11-27,Done,Implemented gate_service.py (1100 lines) + gate_routes.py (540 lines); 41/41 unit tests passed; DDE/BRV/ACC gate types; open/pending/passed/failed status; Evidence attachment with 6 types; X-Gate-Override header support; dry-run mode; Full audit trail; ws:gate:update WebSocket events; Phase-based gate creation; Prometheus metrics
Task,P0: Scoring service with /api/scores,Compute/persist scores; WS updates; dashboards wiring.,High,maestro-v3;analytics;scoring,backend;analytics,,2025-12-08,2025-12-15,To Do,
Task,P1: Phase→test mapping enforcement,Quality-Fabric integration with thresholds blocking gates.,High,maestro-v3;quality;gates,backend;quality,,2025-12-08,2025-12-22,To Do,
Task,P1: Learning snapshot + ingestion,Generate snapshot and ingest with provenance to RAG; retrieval citations.,Medium,maestro-v3;rag;learning,backend;rag,,2025-12-15,2025-12-29,To Do,
Task,P1: Template promotion API,Implement POST /api/templates/promote with criteria and approvals; semver.,Medium,maestro-v3;templates;governance,backend;templates,,2025-12-15,2026-01-05,To Do,
Task,P2: Deployment verification gates,Add smoke/health checks, rollback rules, and evidence wiring.,Medium,maestro-v3;devops;gates,devops;backend,,2025-12-22,2026-01-05,To Do,
Task,P2: Team enhancement rationale,Generate team_enhancement_report; override/lock support; audits.,Low,maestro-v3;governance,backend;orchestration,,2025-12-22,2026-01-05,To Do,
Task,P2: Requirement schema contract,Versioned schema across FE/BFF/BE; validators; CI checks.,Low,maestro-v3;contracts,bff;backend,,2025-12-29,2026-01-12,To Do,
Task,P2: SLOs & queue policies docs,Define job classes, SLAs; dashboards and alerting.,Low,maestro-v3;observability;ops,devops;backend,,2025-12-29,2026-01-12,To Do,
