Summary,Issue Type,Description,Priority,Labels,Story Points,Epic Link,Components,Target Start,Target End,Acceptance Criteria
"ML Routing Policy Service",Epic,"Implement a policy service that decides and explains where a request runs (Frontend/BFF quick-run vs Backend long-run) using policy rules + ML signals, enabling resource optimization and faster perceived latency for lightweight tasks.

**Problem Statement:**
- AutonomousSDLCEngineV3Resumable uses hardcoded priority_tiers dictionary
- No dynamic assessment of task complexity
- All tasks flow to backend regardless of size
- Backend capacity wasted on trivial tasks

**Business Value:**
- 50-70% faster response for lightweight tasks
- 10-20% backend queue reduction
- Instant feedback for simple queries

**Scope:**
- Policy endpoint in BFF (POST /api/policy/route)
- Feature extraction (task complexity, token count, resource needs)
- Decision logging with reason codes
- Override header (X-Route-Locus)
- Feature flag: FF_ML_ROUTING_ENABLED",Highest,"maestro-v3,routing,ml,p0,wave-1",13,,bff|orchestration|telemetry,Week 3,Week 5,"AC-1: POST /api/policy/route returns {locus: fe|backend, reason_code, features}
AC-2: Response latency <50ms p50, <150ms p95
AC-3: Decisions logged with request_id and session_id
AC-4: WebSocket event ws:routing:decision emitted
AC-5: Override header X-Route-Locus respected and audited
AC-6: Feature flag FF_ML_ROUTING_ENABLED controls activation
AC-7: Fallback to backend on any error"
"Create policy_service.py with feature extraction",Story,"Create the core policy service module with feature extraction capabilities for routing decisions.

- Extract token_count, complexity score, resource requirements
- Implement feature normalization
- Add caching for repeated requests",High,"maestro-v3,routing,ml",3,ME-100,bff,Week 3,Week 3,
"Implement heuristic routing rules",Story,"Implement rule-based routing as baseline before ML model.

- Define complexity thresholds
- Map task types to recommended locus
- Add configurable rule weights",High,"maestro-v3,routing,ml",3,ME-100,bff,Week 3,Week 4,
"Add telemetry logging schema",Story,"Create telemetry schema for ML training data collection.

- Define telemetry event schema
- Log all routing decisions with features
- Enable future ML model training",High,"maestro-v3,routing,telemetry",2,ME-100,telemetry,Week 4,Week 4,
"BFF endpoint integration",Story,"Integrate policy service into BFF routing layer.

- Create POST /api/policy/route endpoint
- Add authentication/authorization
- Implement rate limiting",High,"maestro-v3,routing,api",2,ME-100,bff,Week 4,Week 5,
"WebSocket event emission",Story,"Emit routing decisions via WebSocket for real-time UI updates.

- Define ws:routing:decision event schema
- Broadcast to relevant subscribers
- Include reason codes and features",Medium,"maestro-v3,routing,websocket",1,ME-100,orchestration,Week 5,Week 5,
"Override header handling",Story,"Implement X-Route-Locus header for manual routing override.

- Parse override header
- Validate override permissions
- Log overrides in audit trail",Medium,"maestro-v3,routing,audit",1,ME-100,bff,Week 5,Week 5,
"Prometheus metrics integration",Story,"Add Prometheus metrics for routing decision monitoring.

- Decision latency histogram
- Locus distribution counter
- Override rate gauge",Low,"maestro-v3,routing,metrics",1,ME-100,telemetry,Week 5,Week 5,
"Gate Framework (DDE/BRV/ACC)",Epic,"Introduce Design Decision Evidence (DDE), Business Review (BRV), and Acceptance Criteria (ACC) gates per phase with enforcement hooks, storage, audit trails, and real-time WebSocket updates.

**Problem Statement:**
- WorkflowEngine implements standard DAG with depends_on relationships
- No Gate construct exists as a distinct architectural element
- Quality control is implicit rather than explicit
- No hard stops or manual approval steps enforced

**Business Value:**
- 25-40% fewer rework iterations
- Consistent quality checkpoints
- Full audit trail for compliance
- Early detection of issues

**Gate Types:**
- DDE (Design Decision Evidence): Validate architectural decisions
- BRV (Business Review Validation): Confirm business requirements met
- ACC (Acceptance Criteria Complete): Verify all ACs satisfied

**Feature Flag:** FF_GATES_ENFORCEMENT_ENABLED",Highest,"maestro-v3,gates,quality,p0,wave-1",21,,orchestration|workflow|api|ui,Week 3,Week 7,"AC-1: Gates computed and stored per phase with status open/pending/passed/failed
AC-2: Evidence URIs attachable to gates
AC-3: Mixed-mode execution halts on failed mandatory gate unless override
AC-4: Override requires explicit X-Gate-Override header with audit
AC-5: WebSocket ws:gate:update broadcasts state changes
AC-6: Dry-run mode computes gates without blocking
AC-7: Audit trail persists all gate decisions
AC-8: Per-template gate checklists configurable"
"Define gate contracts (DDE, BRV, ACC)",Story,"Create formal contract definitions for each gate type.

- JSON Schema for gate contracts
- Define required vs optional evidence types
- Document enforcement levels per environment",High,"maestro-v3,gates,contracts",2,ME-200,orchestration,Week 3,Week 3,
"Implement gate storage schema",Story,"Design and implement database schema for gate persistence.

- Gate entity with status, evidence, timestamps
- Audit log table for all state changes
- Efficient queries for workflow status",High,"maestro-v3,gates,database",3,ME-200,orchestration,Week 3,Week 4,
"Create gate management APIs",Story,"Build REST APIs for gate operations.

- GET /api/gates?session_id={id}&phase={name}
- POST /api/gates/{id}/approve
- POST /api/gates/{id}/reject
- Add evidence attachment endpoint",High,"maestro-v3,gates,api",3,ME-200,api,Week 4,Week 5,
"Integrate gates into workflow engine",Story,"Modify WorkflowEngine to check gates before phase execution.

- Add gate check hook before phase start
- Implement blocking behavior for failed gates
- Support mandatory vs advisory gates",High,"maestro-v3,gates,workflow",5,ME-200,workflow,Week 5,Week 6,
"Add WebSocket gate events",Story,"Implement real-time gate status notifications.

- Define ws:gate:update event schema
- Broadcast on gate state changes
- Include evidence summaries",Medium,"maestro-v3,gates,websocket",2,ME-200,orchestration,Week 6,Week 6,
